Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	LS513 LARGE INTESTINE	3/245	4.445880e-01	6.746034e-01	0	0	1.230734e+00	9.976417e-01	SAMD5;PHGR1;DEGS2
Cancer_Cell_Line_Encyclopedia	KMH2 HAEMATOPOIETIC AND LYMPHOID TISSUE	4/342	4.472423e-01	6.757622e-01	0	0	1.175100e+00	9.455495e-01	ST8SIA1;ANKRD30A;TP63;CX3CL1
Cancer_Cell_Line_Encyclopedia	LMSU STOMACH	1/59	4.477942e-01	6.757622e-01	0	0	1.710449e+00	1.374211e+00	CXCL5
Cancer_Cell_Line_Encyclopedia	KYSE410 OESOPHAGUS	1/59	4.477942e-01	6.757622e-01	0	0	1.710449e+00	1.374211e+00	ERBB2
Cancer_Cell_Line_Encyclopedia	REH HAEMATOPOIETIC AND LYMPHOID TISSUE	2/152	4.503639e-01	6.784066e-01	0	0	1.323232e+00	1.055542e+00	IRX1;KCNMB1
Cancer_Cell_Line_Encyclopedia	SIMA AUTONOMIC GANGLIA	5/444	4.578164e-01	6.873954e-01	0	0	1.130833e+00	8.835055e-01	NKAIN1;CACNA2D2;SOX11;RNF150;PAK3
Cancer_Cell_Line_Encyclopedia	KP4 PANCREAS	1/61	4.588157e-01	6.873954e-01	0	0	1.653266e+00	1.288071e+00	PADI2
Cancer_Cell_Line_Encyclopedia	J82 URINARY TRACT	1/61	4.588157e-01	6.873954e-01	0	0	1.653266e+00	1.288071e+00	OXTR
Cancer_Cell_Line_Encyclopedia	SUPT1 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/251	4.602163e-01	6.882515e-01	0	0	1.200589e+00	9.317278e-01	IRX1;EPHB6;SRMS
Cancer_Cell_Line_Encyclopedia	SKNFI AUTONOMIC GANGLIA	4/349	4.626552e-01	6.896349e-01	0	0	1.150843e+00	8.870389e-01	SOX11;SYT9;SLC6A2;SLC7A2
Cancer_Cell_Line_Encyclopedia	SKMM2 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/252	4.628031e-01	6.896349e-01	0	0	1.195707e+00	9.212364e-01	RAB26;BPI;IL12RB2
Cancer_Cell_Line_Encyclopedia	CORL105 LUNG	1/62	4.642441e-01	6.905423e-01	0	0	1.626081e+00	1.247765e+00	PADI2
Cancer_Cell_Line_Encyclopedia	FUOV1 OVARY	2/157	4.669832e-01	6.933740e-01	0	0	1.280222e+00	9.748399e-01	ATOH8;CACNA2D2
Cancer_Cell_Line_Encyclopedia	HS839T SKIN	2/158	4.702715e-01	6.970096e-01	0	0	1.271950e+00	9.596165e-01	ATOH8;GDF5
Cancer_Cell_Line_Encyclopedia	SNU878 LIVER	3/256	4.730965e-01	6.999467e-01	0	0	1.176561e+00	8.806044e-01	ALDH1L1;PLIN4;PLIN5
Cancer_Cell_Line_Encyclopedia	SNU478 BILIARY TRACT	1/64	4.749389e-01	7.012814e-01	0	0	1.574300e+00	1.172175e+00	GABRP
Cancer_Cell_Line_Encyclopedia	BV173 HAEMATOPOIETIC AND LYMPHOID TISSUE	4/356	4.779189e-01	7.012814e-01	0	0	1.127551e+00	8.324871e-01	NIPSNAP3B;SRMS;ZHX1-C8ORF76;CD300LG
Cancer_Cell_Line_Encyclopedia	NCIH1838 LUNG	1/65	4.802063e-01	7.012814e-01	0	0	1.549623e+00	1.136710e+00	ESYT3
Cancer_Cell_Line_Encyclopedia	LXF289 LUNG	1/65	4.802063e-01	7.012814e-01	0	0	1.549623e+00	1.136710e+00	KRT17
Cancer_Cell_Line_Encyclopedia	LCLC103H LUNG	1/65	4.802063e-01	7.012814e-01	0	0	1.549623e+00	1.136710e+00	CNN1
Cancer_Cell_Line_Encyclopedia	MOLM13 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/259	4.807580e-01	7.012814e-01	0	0	1.162595e+00	8.514746e-01	NIPSNAP3B;BPI;IL12RB2
Cancer_Cell_Line_Encyclopedia	L540 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/259	4.807580e-01	7.012814e-01	0	0	1.162595e+00	8.514746e-01	ALDH1L1;TPRG1;IL12RB2
Cancer_Cell_Line_Encyclopedia	REC1 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/259	4.807580e-01	7.012814e-01	0	0	1.162595e+00	8.514746e-01	NIPSNAP3B;ACBD4;INPP5J
Cancer_Cell_Line_Encyclopedia	SW948 LARGE INTESTINE	2/162	4.833031e-01	7.025246e-01	0	0	1.239899e+00	9.015447e-01	SAMD5;PHGR1
Cancer_Cell_Line_Encyclopedia	COLO829 SKIN	2/162	4.833031e-01	7.025246e-01	0	0	1.239899e+00	9.015447e-01	SOX10;ROPN1
Cancer_Cell_Line_Encyclopedia	G292CLONEA141B1 BONE	2/163	4.865301e-01	7.059790e-01	0	0	1.232135e+00	8.876997e-01	ATOH8;PAMR1
Cancer_Cell_Line_Encyclopedia	SW403 LARGE INTESTINE	3/262	4.883673e-01	7.074081e-01	0	0	1.148952e+00	8.234398e-01	SAMD5;TMEM132C;PHGR1
Cancer_Cell_Line_Encyclopedia	NCIH2405 LUNG	1/67	4.905840e-01	7.081474e-01	0	0	1.502513e+00	1.070027e+00	CXCL5
Cancer_Cell_Line_Encyclopedia	WM793 SKIN	1/67	4.905840e-01	7.081474e-01	0	0	1.502513e+00	1.070027e+00	SFRP1
Cancer_Cell_Line_Encyclopedia	SNU5 STOMACH	2/165	4.929467e-01	7.103225e-01	0	0	1.216893e+00	8.607744e-01	ACE2;SLC26A3
Cancer_Cell_Line_Encyclopedia	CAL78 BONE	1/68	4.956953e-01	7.130452e-01	0	0	1.480012e+00	1.038663e+00	ATOH8
Cancer_Cell_Line_Encyclopedia	H4 CENTRAL NERVOUS SYSTEM	1/69	5.007555e-01	7.180848e-01	0	0	1.458173e+00	1.008527e+00	IRX1
Cancer_Cell_Line_Encyclopedia	QGP1 PANCREAS	3/267	5.009290e-01	7.180848e-01	0	0	1.126904e+00	7.790181e-01	SAMD5;CEACAM5;GP2
